Date,Open,High,Low,Close,Adj Close,Volume
2021-04-23,164.529999,166.059998,164.000000,165.520004,153.636719,6015300
2021-04-26,165.210007,165.410004,163.759995,164.119995,152.337234,6027800
2021-04-27,163.759995,163.910004,162.470001,163.179993,151.464706,6217700
2021-04-28,162.860001,163.199997,161.649994,161.979996,150.350876,7448000
2021-04-29,161.899994,164.259995,161.809998,164.199997,152.411469,6394300
2021-04-30,164.149994,164.330002,162.520004,162.729996,151.046997,9079100
2021-05-03,163.600006,165.320007,163.119995,165.210007,153.348969,6594100
2021-05-04,164.830002,167.850006,164.669998,167.770004,155.725174,10179500
2021-05-05,167.500000,168.399994,166.789993,167.070007,155.075424,7792300
2021-05-06,166.789993,167.889999,166.240005,167.740005,155.697327,5529900
2021-05-07,168.300003,169.179993,167.830002,168.500000,156.402786,5316200
2021-05-10,169.899994,171.529999,169.229996,170.270004,158.045685,8357500
2021-05-11,170.649994,170.869995,168.279999,168.880005,156.755478,8217900
2021-05-12,168.539993,169.800003,167.949997,168.199997,156.124283,6758300
2021-05-13,166.970001,170.699997,166.970001,169.960007,157.757965,8018600
2021-05-14,171.479996,171.610001,170.169998,170.220001,157.999283,5797700
2021-05-17,170.399994,171.889999,170.309998,170.389999,158.157059,5722600
2021-05-18,169.979996,171.369995,169.529999,170.449997,158.212769,5846000
2021-05-19,169.910004,170.160004,168.039993,170.080002,157.869354,5533800
2021-05-20,169.940002,171.589996,169.690002,171.070007,158.788269,4853200
2021-05-21,171.330002,172.740005,170.869995,170.960007,158.686172,6501800
2021-05-24,170.899994,171.350006,169.770004,170.550003,159.293259,5195100
2021-05-25,170.669998,171.029999,169.740005,170.080002,158.854294,7444700
2021-05-26,170.000000,170.080002,168.279999,169.070007,157.910919,5726400
2021-05-27,169.259995,170.169998,168.380005,168.809998,157.668091,8114700
2021-05-28,169.520004,171.009995,169.169998,169.250000,158.079056,6400800
2021-06-01,170.149994,170.199997,165.380005,165.529999,154.604568,10448400
2021-06-02,165.300003,166.729996,165.110001,166.199997,155.230362,6806000
2021-06-03,165.889999,167.149994,165.710007,166.039993,155.080902,5808800
2021-06-04,167.009995,167.570007,165.869995,165.970001,155.015549,6510300
2021-06-07,166.000000,166.320007,164.630005,164.839996,153.960114,5362800
2021-06-08,165.279999,165.660004,162.070007,163.389999,152.605835,7746800
2021-06-09,163.990005,165.779999,163.660004,165.589996,154.660599,5552600
2021-06-10,166.000000,167.580002,165.949997,167.080002,156.052277,6463100
2021-06-11,167.070007,167.080002,164.220001,164.960007,154.072220,7389900
2021-06-14,164.500000,165.460007,163.899994,165.369995,154.455154,4931300
2021-06-15,165.229996,165.860001,164.389999,164.490005,153.633209,5062900
2021-06-16,164.800003,165.750000,163.479996,164.429993,153.577164,6988500
2021-06-17,164.190002,165.699997,163.500000,165.220001,154.315033,5874700
2021-06-18,163.270004,164.190002,161.789993,161.979996,151.288879,12993000
2021-06-21,162.770004,164.259995,162.250000,163.839996,153.026138,6592300
2021-06-22,163.710007,164.039993,163.279999,163.619995,152.820648,5627800
2021-06-23,163.690002,163.690002,162.479996,162.630005,151.895996,4493400
2021-06-24,163.270004,164.199997,162.800003,163.369995,152.587143,4549200
2021-06-25,162.940002,164.779999,162.889999,164.210007,153.371704,10963800
2021-06-28,164.440002,165.070007,163.520004,164.020004,153.194244,5604000
2021-06-29,164.000000,164.639999,163.410004,164.029999,153.203598,3749500
2021-06-30,164.000000,164.970001,163.669998,164.740005,153.866745,6151700
2021-07-01,164.740005,166.009995,164.630005,165.960007,155.006210,6320200
2021-07-02,166.020004,169.300003,165.639999,168.979996,157.826874,9059900
2021-07-06,167.910004,168.860001,166.990005,167.970001,156.883530,6098500
2021-07-07,167.479996,169.500000,167.479996,169.410004,158.228485,6293500
2021-07-08,168.699997,169.460007,167.580002,169.080002,157.920258,5755500
2021-07-09,169.369995,170.369995,169.240005,169.750000,158.546036,6120900
2021-07-12,169.729996,171.179993,168.539993,169.479996,158.293854,7840500
2021-07-13,168.970001,169.759995,168.669998,169.270004,158.097733,4691200
2021-07-14,170.000000,170.830002,169.039993,170.419998,159.171844,6162900
2021-07-15,169.300003,169.899994,167.720001,168.369995,157.257111,6656900
2021-07-16,168.339996,169.089996,167.949997,168.100006,157.004974,5834900
2021-07-19,166.479996,168.190002,165.320007,166.880005,155.865479,8219700
2021-07-20,166.899994,170.809998,166.839996,168.449997,157.331879,9902800
2021-07-21,169.300003,169.690002,167.479996,169.490005,158.303207,7585200
2021-07-22,169.360001,171.070007,168.649994,169.979996,158.760880,5281900
2021-07-23,171.000000,172.179993,170.380005,171.789993,160.451401,5014900
2021-07-26,171.820007,172.139999,170.860001,171.869995,160.526108,4484900
2021-07-27,171.800003,172.720001,170.669998,172.660004,161.263977,7089300
2021-07-28,172.729996,173.380005,172.080002,172.179993,160.815674,5750700
2021-07-29,172.740005,173.339996,171.089996,172.179993,160.815674,4214100
2021-07-30,172.539993,172.979996,171.839996,172.199997,160.834335,5346400
2021-08-02,172.470001,172.839996,171.300003,172.270004,160.899734,3721500
2021-08-03,172.729996,174.500000,172.440002,174.389999,162.879791,6033000
2021-08-04,174.199997,174.589996,173.259995,173.360001,161.917786,4793100
2021-08-05,173.850006,173.850006,172.419998,173.690002,162.226013,4291000
2021-08-06,173.940002,173.940002,172.449997,173.110001,161.684280,4581100
2021-08-09,173.720001,174.250000,172.929993,173.710007,162.244705,3950200
2021-08-10,173.259995,174.110001,172.779999,173.770004,162.300735,3678300
2021-08-11,174.250000,174.470001,173.559998,173.800003,162.328735,4221300
2021-08-12,173.820007,175.289993,173.589996,175.199997,163.636353,4300400
2021-08-13,175.289993,176.289993,175.119995,176.250000,164.617035,5882100
2021-08-16,176.550003,177.889999,175.949997,177.839996,166.102097,4782800
2021-08-17,177.309998,179.509995,177.309998,179.470001,167.624496,6041900
2021-08-18,179.500000,179.500000,177.130005,177.190002,165.495010,7134100
2021-08-19,176.619995,179.330002,176.070007,178.570007,166.783905,5615000
2021-08-20,178.889999,179.919998,178.070007,179.440002,167.596481,5428700
2021-08-23,178.389999,178.929993,177.539993,177.610001,166.873016,6461700
2021-08-24,176.990005,177.210007,175.279999,175.389999,164.787231,5734800
2021-08-25,175.690002,175.899994,173.889999,174.229996,163.697357,5700300
2021-08-26,173.949997,174.720001,173.050003,173.300003,162.823563,5031600
2021-08-27,174.279999,174.279999,172.750000,172.929993,162.475952,7046100
2021-08-30,172.789993,174.279999,172.779999,173.660004,163.161819,3252700
2021-08-31,173.490005,174.490005,172.479996,173.130005,162.663864,7106800
